Name,Addr,subway,distSubway
이디야커피 황학롯데캐슬점,중구,동묘앞역 6호선,0.49169309925642074
이디야커피 종로4가점,종로구,종로5가역 1호선,0.456150691293467
이디야커피 신림남부초교점,관악구,신림역 2호선,0.7043988865955705
이디야커피 우이역도선사점,강북구,솔밭공원역 우이신설선,0.7348980251516486
이디야커피 어린이대공원역점,광진구,어린이대공원역 7호선,0.19001372098407618
이디야커피 전농사거리점,동대문구,청량리역 경의중앙선,1.041121495253173
이디야커피 중앙대점,동작구,흑석역 9호선,0.5237039446224421
이디야커피 은행사거리점,노원구,상계역 4호선,1.2422434506542561
이디야커피 쌍문동점,도봉구,쌍문역 4호선,0.667727084364086
이디야커피 한성대역점,성북구,한성대입구역 4호선,0.2595779604764707
이디야커피 회기역점,동대문구,회기역 경의중앙선 2번출구,0.18604812028266773
이디야커피 이문점,동대문구,회기역 1호선,0.2709638661592907
이디야커피 박미삼거리점,금천구,구로디지털단지역 2호선,0.9774806045735602
이디야커피 중화동점,중랑구,중화역 7호선,0.3025078331499723
이디야커피 광진구청점,광진구,구의역 2호선,0.6698479573068875
이디야커피 마곡대방디엠씨티점,강서구,양천향교역 9호선,0.5150612049173368
이디야커피 목동역점,양천구,목동역 5호선,0.22555906123407918
이디야커피 석계역점,노원구,석계역 1호선,0.11832209294017756
이디야커피 종로타워점,종로구,종각역 1호선,0.07151948615741138
이디야커피 창신동점,종로구,동대문역 1호선,0.15563296005110394
