,Name,Addr,lat,lng
252,스타벅스 성수낙낙,서울 성동구 광나루로8길 31 성수SKV1 2동 1층 101호,37.5475127,127.064007
253,스타벅스 도산가로수길점,서울 강남구 도산대로 134 2층,37.5172519,127.0233424
254,스타벅스 상암디지털큐브점,서울 마포구 상암산로 34 1층,37.576088,126.889136
255,스타벅스 신압구정점,서울 강남구 언주로174길 29,37.5280809,127.0364236
256,스타벅스 등촌,서울 강서구 공항대로 329 1층,37.5582043,126.8443392
257,스타벅스 교대점,서울 서초구 서초중앙로 118 KAIS빌딩,37.4923779,127.0142181
258,스타벅스 길동역점,서울 강동구 양재대로 1487,37.5386789,127.1400495
259,스타벅스 뱅뱅사거리점,서울 강남구 강남대로 282,37.4885277,127.032471
260,스타벅스 마포용강동점,서울 마포구 토정로 295,37.5411857,126.9422092
261,스타벅스 한성대입구역점,서울 성북구 성북로 11,37.5889972,127.0048925
262,스타벅스 삼성교점,서울 강남구 영동대로86길 12 동남유화빌딩1층,37.5078813,127.0652928
263,스타벅스 상왕십리역,서울 성동구 왕십리로 382,37.5649226,127.0279499
264,스타벅스 가락시장역점,서울 송파구 중대로 121 롯데캐슬 파인힐1층,37.494324,127.1213465
265,스타벅스 양천향교역,서울 강서구 강서로 463,37.5535944,126.8412653
266,스타벅스 논현역점,서울 서초구 강남대로 557,37.51162010000001,127.0205982
267,스타벅스 보라매대교점,서울 관악구 보라매로3길 23 대교눈높이보라매 센터 1층,37.49099,126.925521
268,스타벅스 서울타워점,서울 용산구 남산공원길 105 YTN서울타워 1층,37.5511694,126.9882266
269,스타벅스 강동역점,서울 강동구 천호대로 1089,37.5357882,127.1332568
270,스타벅스 영동2교점,서울 서초구 논현로 139 대흥빌딩,37.481962,127.0425724
271,스타벅스 서강광흥창역점,서울 마포구 서강로 69,37.5493766,126.9316559
272,스타벅스 가산디지털단지역점,서울 금천구 벚꽃로 298,37.4813244,126.8837789
273,스타벅스 명일역점,서울 강동구 양재대로 1647,37.5525446,127.1437615
274,스타벅스 금천구청역점,서울 금천구 시흥대로73길 67 엠타워 112~115호,37.4568736,126.8978
275,스타벅스 등촌역점,"서울 양천구 공항대로 566 1,2층",37.5488905,126.8680693
276,스타벅스 한티역점,서울 강남구 도곡로 408 디마크빌딩 101호,37.4966281,127.055214
277,스타벅스 대우재단빌딩점,서울 중구 퇴계로 18,37.5588865,126.9847835
278,스타벅스 남부터미널2점,서울 서초구 효령로 274,37.4843561,127.0142016
279,스타벅스 올림픽평화의문점,서울 송파구 위례성대로 38,37.5156426,127.1164819
280,스타벅스 압구정미소점,서울 강남구 논현로 841 1층,37.5240211,127.0278937
281,스타벅스 을지로4가역점,"서울 중구 을지로 170 118,119,202호",37.5663459,126.9967756
282,스타벅스 이촌점,서울 용산구 이촌로 276,37.5186054,126.9772713
283,스타벅스 마포일진빌딩점,서울 마포구 마포대로 45 일진빌딩 1층,37.54043,126.94632
284,스타벅스 신당역,서울 중구 퇴계로 385 1층,37.565296,127.0143007
285,스타벅스 동대입구역점,서울 중구 장충단로 166,37.5595925,127.0061416
286,스타벅스 은행사거리점,"서울 노원구 중계로 217 중흥빌딩 103,203호",37.6504634,127.0759752
287,스타벅스 여의도KBS R점,서울 영등포구 의사당대로 26,37.5265758,126.9181878
288,스타벅스 구로디지털로점,서울 구로구 디지털로33길 11 에이스테크노타워 8차 1층,37.4851811,126.8951168
289,스타벅스 방이역점,서울 송파구 마천로 53 1~2층,37.5085169,127.1266393
290,스타벅스 명동중앙로점,서울 중구 명동길 60,37.56369919999999,126.9857659
291,스타벅스 강남GT타워점,서울 서초구 서초대로 411 GT타워,37.4978774,127.0260779
292,스타벅스 상암MBC점,서울 마포구 성암로 267 MBC신사옥 C1 경영센터,37.5800693,126.8914327
293,스타벅스 강서구청사거리점,서울 강서구 화곡로 350 1층 104~107호,37.5547254,126.8520968
294,스타벅스 연대동문점,서울 서대문구 성산로 565 연세재단 Y빌딩,37.6252952,127.0261504
295,스타벅스 효창공원앞역점,서울 용산구 효창동 287,37.5417318,126.9613055
296,스타벅스 영등포KT점,서울 영등포구 영중로 119,37.5267921,126.9047058
297,스타벅스 여의도호성점,서울 영등포구 여의대방로65길 24 호성빌딩1층,37.5204021,126.9292806
298,스타벅스 대학로점,서울 종로구 대학로 57 홍익대학교 대학로캠퍼스 1층,37.5765072,127.0015243
299,스타벅스 충무로역점,서울 중구 퇴계로 197 충무빌딩 1층,37.561391,126.9939127
300,스타벅스 국회의사당역,서울 영등포구 의사당대로 8,37.5278307,126.9168822
301,스타벅스 염창역점,서울 강서구 공항대로 627 대신빌딩 1층,37.547251,126.8745264
302,스타벅스 아크로힐스논현점,"서울 강남구 봉은사로 304 금강빌딩 1,2층",37.5089596,127.0404373
303,스타벅스 방배로점,서울 서초구 방배로 52,37.4794494,126.9993484
304,스타벅스 강남구청정문점,서울 강남구 학동로 419,37.5182675,127.0459628
305,스타벅스 내방역점,서울 서초구 방배로 184 1~2층,37.4899917,126.9924614
306,스타벅스 독립문역점,서울 종로구 송월길 155,37.57070179999999,126.9647646
