Name,Addr
이디야커피 역삼충현점,서울 강남구 논현로98길 7
이디야커피 성수중앙점,서울 성동구 성수일로6길 47
이디야커피 길음뉴타운점,서울 성북구 길음로 74 길음SH빌
이디야커피 서울대입구역점,서울 관악구 관악로 195 위버폴리스 B동 1층
이디야커피 종로르메이에르점,서울 종로구 종로 19 르메이에르종로타운
이디야커피 보라매점,서울 동작구 보라매로5가길 16 101-7호
이디야커피 녹두거리점,서울 관악구 신림로 91
이디야커피 마곡나루역점,서울 강서구 마곡중앙5로 6
이디야커피 삼각산점,서울 강북구 솔샘로40길 3
이디야커피 상봉중앙점,서울 중랑구 망우로 316
이디야커피 한국수출입은행점,서울 영등포구 은행로 38 1층
이디야커피 수서역점,서울 강남구 광평로 280 로즈데일오피스텔
이디야커피 구산역점,서울 은평구 연서로 148
이디야커피 역촌진흥로점,서울 은평구 진흥로1길 3
이디야커피 은평구청점,서울 은평구 은평로 197
이디야 송파문정점,서울 송파구 송이로 159
이디야커피 보문역점,서울 성북구 보문로 111
이디야커피 상도중앙점,"서울 동작구 만양로 17 1층 101, 102호"
이디야커피 사가정역점,서울 중랑구 면목로 325
이디야커피 성동구청점,서울 성동구 고산자로 269
이디야커피 신설점,서울 종로구 난계로29길 30 1층
이디야커피 중랑역점,서울 중랑구 망우로 198
이디야커피 강남논현학동점,서울 강남구 논현로131길 28
이디야커피 문래역점,서울 영등포구 문래로 89 문래비즈타워 1층
이디야커피 촬영소사거리점,서울 동대문구 답십리로 264
이디야커피 먹골역점,서울 중랑구 동일로157길 13 1층
이디야커피 불광연서로점,서울 은평구 연서로 275
이디야커피 잠원논현점,서울 서초구 신반포로 333
이디야커피 포이사거리점,서울 강남구 개포로 218
이디야커피 중랑교차로점,서울 중랑구 동일로 683
이디야커피 창덕궁점,서울 종로구 돈화문로 41-1
이디야커피 강서한강자이점,서울 강서구 양천로 401 B동 1층 108호
이디야커피 신도림메르디앙점,서울 구로구 신도림로 65 1층
이디야커피 동자동점,서울 용산구 후암로 93 1층
이디야커피 동대문구청점,서울 동대문구 천호대로 153-1 1층
이디야커피 봉천중앙점,서울 관악구 남부순환로 1874
이디야커피 신길썬프라자점,서울 영등포구 신길로 42
이디야커피 용산청파점,서울 용산구 청파로71길 10 1층
이디야커피 방이초교점,서울 송파구 가락로 280 1층
이디야커피 사당역점,서울 동작구 동작대로7길 100
이디야커피 대방역점,서울 동작구 노량진로 24
이디야커피 고대구로병원점,서울 구로구 구로동로 157
이디야커피 구의동점,서울 광진구 아차산로 481
이디야커피 신당점,서울 중구 다산로35길 11 1층
이디야커피 방학중앙점,서울 도봉구 도당로13길 22 1층
이디야커피 개포동역점,서울 강남구 개포로82길 11 삼우빌딩 1층
이디야커피 양재AT점,서울 서초구 동산로 3
이디야커피 길동중앙점,서울 강동구 명일로 200 1층
이디야커피 암사3동점,서울 강동구 고덕로 140 프라이어팰리스상가 1층 101호
이디야커피 오목교역점,서울 양천구 신목로 102
이디야커피 애오개역점,서울 마포구 마포대로 208
이디야커피 신금호역점,서울 성동구 금호산길 64
이디야커피 천호초교사거리점,서울 강동구 구천면로 304 1층
이디야커피 자양동점,서울 광진구 자양로 46
이디야커피 을지로3가점,서울 중구 수표로 45 비즈센터 102호
이디야커피 화곡로점,서울 강서구 화곡로 133 2층
이디야커피 곰달래사거리점,서울 강서구 곰달래로 52
이디야커피 신림역점,서울 관악구 신림로 312
이디야커피 공덕롯데캐슬점,서울 마포구 마포대로 109
이디야커피 충무로점,서울 중구 퇴계로 188
이디야커피 당고개역점,서울 노원구 상계로 313
이디야커피 뚝섬역점,"서울 성동구 상원4길 4 1,2층"
이디야커피 미아중앙점,서울 강북구 도봉로 128
이디야커피 구로역광장점,서울 구로구 경인로 572
이디야커피 돌곶이역점,서울 성북구 돌곶이로22길 3
이디야커피 창동역점,서울 도봉구 마들로11길 65 1층 3호
이디야커피 개봉역점,서울 구로구 남부순환로97길 11
이디야커피 천호중앙점,서울 강동구 올림픽로 660 105호
이디야커피 연신내중앙점,서울 은평구 통일로 825
이디야커피 국회의사당역점,서울 영등포구 의사당대로 22 1층
이디야커피 망리단길점,서울 마포구 포은로 81-1 S빌딩 1층
이디야커피 목동남부점,서울 양천구 목동남로 46
이디야커피 숭인점,서울 종로구 숭인동길 6
이디야커피 미아역점,서울 강북구 도봉로 207 1층
이디야커피 장안중앙점,서울 동대문구 사가정로25길 42
이디야커피 다동점,서울 중구 다동길 46
이디야커피 종로교차로점,서울 종로구 동호로 406-1
이디야커피 신사점,서울 강남구 도산대로 118
이디야커피 공릉중앙점,서울 노원구 공릉로 146
이디야커피 가재울점,서울 서대문구 수색로 100
이디야커피 대흥역점,서울 마포구 백범로 100
이디야커피 종합운동장역점,서울 송파구 올림픽로 76 제이타워 1층 104호
이디야커피 KBS별관점,서울 영등포구 국제금융로8길 27-9 동북빌딩 1층
이디야커피 텐즈힐점,서울 성동구 무학로 33
이디야커피 노원사거리점,서울 노원구 동일로 1393
이디야커피 강남YMCA점,서울 강남구 봉은사로37길 29
이디야커피 삼양사거리점,서울 강북구 솔샘로 254 1층
이디야커피 구의사거리점,"서울 광진구 광나루로 508 102,103호"
이디야커피 마들역점,서울 노원구 동일로 1541
이디야커피 응봉동점,서울 성동구 독서당로 381 현대종합상가 1층
이디야커피 해군회관점,서울 동작구 여의대방로 194
이디야커피 마곡파인스퀘어점,서울 강서구 마곡중앙4로 22 파인스퀘어 1층 124-126호
이디야커피 신월신곡시장점,서울 양천구 신월로 172
이디야커피 방학사거리점,서울 도봉구 도봉로 677
이디야커피 왕십리비트플렉스점,서울 성동구 왕십리광장로 17
이디야커피 4.19사거리점,서울 강북구 삼양로 501
이디야커피 등촌동점,서울 강서구 공항대로61길 20
이디야커피 양천구청점,서울 양천구 목동동로 63
이디야커피 회기역중앙점,서울 동대문구 회기로 193
이디야커피 구로NC점,서울 구로구 구로동로 240 103호
이디야커피 구로미성점,서울 구로구 구로중앙로 228
이디야커피 송파파인타운점,서울 송파구 충민로2길 28
이디야커피 마장역점,서울 성동구 마장로 293-1
이디야커피 서초역점,"서울 서초구 반포대로21길 23 세진빌딩 1층 102,103호"
이디야커피 예술의전당점,서울 서초구 반포대로 32 원일빌딩
이디야커피 포이점,서울 서초구 마방로10길 42 1층
이디야커피 노량진CTS점,서울 동작구 노량진로 110
이디야커피 신도림테크노마트점,서울 구로구 새말로 97
이디야커피 상수역점,서울 마포구 와우산로 41-1 1층
이디야커피 신림대학동점,서울 관악구 호암로26길 17
이디야커피 까치산역점,서울 강서구 강서로17길 6 광성빌딩 1층
이디야커피 홍제역점,서울 서대문구 통일로 431
이디야커피 장안동사거리점,서울 동대문구 답십리로 309
